"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 21:38:43 CST 2022","Tue Oct 11 21:38:43 CST 2022","85","testcase","test_excel_case","TestExcel","","","topic_4创建主题成功","<font color='red'>请求URL: </font> http://47.100.175.62:3000/api/v1/topics/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>success': True<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'success': True, 'topic_id': '634571e5cefe777d49290392'}}"
"passed","Tue Oct 11 21:38:43 CST 2022","Tue Oct 11 21:38:43 CST 2022","81","testcase","test_excel_case","TestExcel","","","修改主题","<font color='red'>请求URL: </font> http://47.100.175.62:3000/api/v1/topics/update/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>success': True<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'success': True, 'topic_id': '634427d3fe5e85471ce08a32'}}"
